trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,Txn_type,Duplicate_count,Amt_outliers,Cutomer_age,Age_group,Trans_hour,Day_of_week,Dist_km,Amt_band,Is_Night,Fraud_Score,Predicted_fraud
01/01/2019 00:31,Ledner-Pfannerstill,gas_transport,102.13,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,47238da5b40d126c8abea40a857c7809,39.807313,-109.348294,0,Legit,1,Normal,31,30-44,0,Tue,92.65836585,$100-$499,Night,2,0
01/01/2019 00:41,Huel-Langworth,misc_net,177.57,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,048dc7fc7ae8efd51f59f7176e6a8bd7,38.419431,-109.380252,0,Legit,1,Normal,31,30-44,0,Tue,67.68275519,$100-$499,Night,4,1
01/01/2019 09:29,"Raynor, Reinger and Hagenes",gas_transport,72.18,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,2fa89b83d2fd924592bcccb3adf444e4,39.650886,-109.490384,0,Legit,1,Normal,31,30-44,9,Tue,73.17564181,$50-$99,Day,0,0
01/01/2019 14:14,"Altenwerth, Cartwright and Koss",shopping_net,9.62,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,da5b0dd77b29ff6da78ca79f95e030b2,38.044566,-108.863626,0,Legit,1,Normal,31,30-44,14,Tue,124.7270761,Under $10,Day,5,1
01/01/2019 23:08,Brown PLC,misc_net,83.92,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,58808a8ed143288e7947a2cf381c607d,38.210919,-110.595579,0,Legit,1,Normal,31,30-44,23,Tue,122.2967689,$50-$99,Night,7,1
02/01/2019 00:33,Pfeffer LLC,grocery_net,51.82,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,16b4a94ff9ab8c19c89427af37eb2742,39.396042,-109.619847,0,Legit,1,Normal,31,30-44,0,Wed,44.0509608,$50-$99,Night,2,0
02/01/2019 18:06,Sawayn PLC,shopping_pos,5.66,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,28ada02492a7e220351b836afa11e722,39.145586,-108.67565,0,Legit,1,Normal,31,30-44,18,Wed,82.69197794,Under $10,Day,0,0
03/01/2019 00:07,Sporer Inc,gas_transport,58.93,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,905c4f6ea97d5363c432a3ced9097201,38.388064,-109.562446,0,Legit,1,Normal,31,30-44,0,Thu,68.18577133,$50-$99,Night,2,0
03/01/2019 22:59,"Reichert, Shanahan and Hayes",shopping_net,1.61,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,559cce0a594c44da4064916131e14da0,39.800479,-110.266205,0,Legit,1,Normal,31,30-44,22,Thu,105.1441999,Under $10,Night,7,1
04/01/2019 09:52,Dooley-Thompson,misc_net,8.39,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,033ef769c97589614ae3a8302672a28b,38.862511,-109.022535,0,Legit,1,Normal,31,30-44,9,Fri,53.47588875,Under $10,Day,2,0
